symbol,date,pnl,exit_type
AAPL,2025-12-15,0.008902146488846432,TP1_TRAIL
AAPL,2025-12-18,-0.003001249999999957,SL
AAPL,2025-12-23,-0.00022068353822953554,AVG
AAPL,2025-12-25,0.010418701702551561,TP1_TRAIL
AAPL,2025-12-29,-0.0030012499999998586,SL
AAPL,2025-12-30,0.007103701284919286,TP1_TRAIL
AAPL,2025-12-31,-0.0030012499999999324,SL
AAPL,2026-01-02,-0.0030012499999998634,SL
AAPL,2026-01-05,7.590882215479777e-05,TP1_TRAIL
AAPL,2026-01-07,0.010122946105710582,TP1_TRAIL
AAPL,2026-01-09,-0.0013150930975724,TP1_TRAIL
AAPL,2026-01-14,0.009260032507470798,TP1_TRAIL
AAPL,2026-01-16,-0.0030012499999999167,SL
AAPL,2026-01-19,0.008167908518742318,TP1_TRAIL
AAPL,2026-01-20,-0.00300124999999993,SL
AAPL,2026-01-23,0.00639430309567985,TP1_TRAIL
AAPL,2026-01-29,-0.0030012499999999445,SL
AAPL,2026-01-30,-0.003001249999999856,SL
AAPL,2026-02-04,-0.0010992574701633659,TP1_TRAIL
AAPL,2026-02-05,-0.0030012499999999484,SL
AAPL,2026-02-06,0.01337217275086056,TP1_TRAIL
AAPL,2026-02-10,0.004533271850803083,TP1_TRAIL
AAPL,2026-02-11,0.0007088912322697001,TP1_TRAIL
AAPL,2026-02-13,0.008665727948619018,TP1_TRAIL
AAPL,2026-02-17,0.009047538028212447,TP1_TRAIL
AAPL,2026-02-23,0.010160391501012805,TP1_TRAIL
AAPL,2026-02-25,0.005561263840893101,TP1_TRAIL
AAPL,2026-02-27,-0.0030012499999998847,SL
AAPL,2026-03-02,0.007536539721528632,TP1_TRAIL
AAPL,2026-03-05,0.00966407695956139,TP1_TRAIL
AAPL,2026-03-09,-0.0030012499999998777,SL
AAPL,2026-03-11,0.000202655626170882,AVG
AAPL,2026-03-13,-0.0030012499999998417,SL
AAPL,2026-03-16,-0.0030012499999999094,SL
AAPL,2026-03-19,0.006742488581142642,TP1_TRAIL
AAPL,2026-03-20,0.007589184713520995,TP1_TRAIL
AAPL,2026-03-23,0.01011010896296547,TP1_TRAIL
AAPL,2026-03-24,0.005439751642040219,TP1_TRAIL
AAPL,2026-03-25,0.008458171004726681,TP1_TRAIL
AAPL,2026-03-26,0.0006448940925283112,TP1_TRAIL
AAPL,2026-03-30,0.011950569716894604,TP1_TRAIL
AAPL,2026-03-31,-0.003001249999999996,SL
AAPL,2026-04-01,0.005006041151862477,TP1_TRAIL
AAPL,2026-04-03,0.009439432666545178,TP1_TRAIL
AAPL,2026-04-06,0.01040590732856278,TP1_TRAIL
AAPL,2026-04-08,0.0074458132797631605,TP1_TRAIL
AAPL,2026-04-09,-0.0030012499999998847,SL
AAPL,2026-04-10,-0.0030012499999998742,SL
AAPL,2026-04-13,0.008466546254479141,TP1_TRAIL
AAPL,2026-04-14,-0.00106861465369288,TP1_TRAIL
AAPL,2026-04-17,0.009885771966952922,TP1_TRAIL
AAPL,2026-04-20,0.007012654485214008,TP1_TRAIL
AAPL,2026-04-23,0.010275143985806343,TP1_TRAIL
AAPL,2026-04-24,0.007023056347632031,TP1_TRAIL
AAPL,2026-04-27,0.009320654824985286,TP1_TRAIL
AAPL,2026-04-28,0.009179665462278901,TP1_TRAIL
AAPL,2026-04-29,-0.0013917808281188743,TP1_TRAIL
AAPL,2026-05-05,-0.0030012499999998105,SL
AAPL,2026-05-06,0.013197998896531105,TP1_TRAIL
AAPL,2026-05-07,0.010963367987778068,TP1_TRAIL
AAPL,2026-05-08,0.00973518914327943,TP1_TRAIL
AAPL,2026-05-12,0.009946509331446645,TP1_TRAIL
AAPL,2026-05-13,0.008404194600614437,TP1_TRAIL
AAPL,2026-05-14,-0.0030012499999998673,SL
AAPL,2026-05-15,0.009487802750458383,TP1_TRAIL
AAPL,2026-05-18,-0.0003501144956500862,AVG
AAPL,2026-05-19,0.007362329129775508,TP1_TRAIL
AAPL,2026-05-20,0.00953097975845675,TP1_TRAIL
AAPL,2026-05-21,0.0004955302534021518,TP1_TRAIL
AAPL,2026-05-26,0.007166961005383896,TP1_TRAIL
AAPL,2026-06-02,1.0967130648688664e-05,AVG
AAPL,2026-06-05,-0.0006020615191450586,TP1_TRAIL
AAPL,2026-06-09,0.008013756194932265,TP1_TRAIL
AAPL,2026-06-10,-0.003001249999999781,SL
AAPL,2026-06-11,0.00834325780096471,TP1_TRAIL
AAPL,2026-06-12,0.010336255705812408,TP1_TRAIL
AAPL,2026-06-15,-0.0009915590067639348,TP1_TRAIL
AAPL,2026-06-16,0.009041301758692711,TP1_TRAIL
AAPL,2026-06-17,0.006552533086534829,TP1_TRAIL
AAPL,2026-06-18,0.00018257091096095203,TP1_TRAIL
AAPL,2026-06-19,-0.0030012499999998387,SL
AAPL,2026-06-22,0.008875946956417028,TP1_TRAIL
AAPL,2026-06-24,-0.003041179488310005,TP1_TRAIL
AAPL,2026-06-25,0.007874026077007181,TP1_TRAIL
AAPL,2026-06-29,-0.0030012499999999085,SL
AAPL,2026-07-02,0.00848898173185662,TP1_TRAIL
AAPL,2026-07-03,0.005846117058151441,TP1_TRAIL
AAPL,2026-07-07,0.010434279727880672,TP1_TRAIL
AAPL,2026-07-08,-0.0030012499999998886,SL
AAPL,2026-07-09,0.00890167863641595,TP1_TRAIL
AAPL,2026-07-10,-0.0030012499999998296,SL
AAPL,2026-07-15,-0.00041590843354649687,TP1_TRAIL
AAPL,2026-07-22,8.763523487270199e-05,TP1_TRAIL
AAPL,2026-07-23,0.0062999825383185035,TP1_TRAIL
AAPL,2026-07-24,-0.00015461408542180718,TP1_TRAIL
AAPL,2026-07-27,0.01121078592804817,TP1_TRAIL
AAPL,2026-07-28,0.0006642203218743216,TP1_TRAIL
AAPL,2026-07-29,0.0076621880701849875,TP1_TRAIL
AAPL,2026-08-03,0.011346279979279098,TP1_TRAIL
AAPL,2026-08-11,0.00871607110242268,TP1_TRAIL
AAPL,2026-08-13,-0.00030654484067823857,TP1_TRAIL
AAPL,2026-08-17,0.005993310143432515,TP1_TRAIL
