symbol,date,entry_time,score,support,touches,entry_price,raw_pnl,pnl
AAPL,2025-12-14,2025-12-14 10:30:00,7,190.6649653457282,3,194.92944603884817,-0.0041802602053234,-0.0045802602053234
AAPL,2025-12-15,2025-12-15 10:30:00,8,192.33472248149945,3,196.18253059046128,-0.002396776841362054,-0.002796776841362054
AAPL,2025-12-16,2025-12-16 10:30:00,6,188.47349867091538,2,192.69988863963655,0.00557651151919457,0.00517651151919457
MSFT,2025-12-14,2025-12-14 10:30:00,6,421.395219409488,3,427.321185780993,0.003160562002004957,0.002760562002004957
MSFT,2025-12-15,2025-12-15 10:30:00,9,415.11911830180765,3,423.94590462918256,0.0030207115759237012,0.002620711575923701
MSFT,2025-12-16,2025-12-16 10:30:00,8,418.0782607283094,2,430.59003897693765,-0.0025760453110034594,-0.0029760453110034596
MSFT,2025-12-17,2025-12-17 10:30:00,6,423.3743517302584,4,431.5644032503947,-0.002376708669496964,-0.002776708669496964
NVDA,2025-12-14,2025-12-14 10:30:00,7,116.55412224124198,4,119.81335834730686,-0.002481769535989808,-0.0028817695359898083
NVDA,2025-12-15,2025-12-15 10:30:00,9,119.37210209788255,2,121.14899941400762,0.003761366847556841,0.003361366847556841
NVDA,2025-12-16,2025-12-16 10:30:00,7,116.85071295438227,4,120.13595222564274,0.006069699054226411,0.005669699054226411
NVDA,2025-12-17,2025-12-17 10:30:00,9,117.63065437996372,3,119.96058615244542,0.0030242836146931167,0.0026242836146931165
NVDA,2025-12-18,2025-12-18 10:30:00,9,118.31389686209047,2,120.49261100366094,-0.0024382754873411294,-0.0028382754873411296
AMZN,2025-12-14,2025-12-14 10:30:00,8,185.4608338761894,4,188.63476671435726,-0.002657124657011743,-0.0030571246570117432
AMZN,2025-12-15,2025-12-15 10:30:00,9,185.45685251926187,3,187.8766052586049,-0.0023234424200941272,-0.0027234424200941274
AMZN,2025-12-16,2025-12-16 10:30:00,7,183.95750314669596,2,187.19109904022315,-0.00447626669936592,-0.00487626669936592
AMZN,2025-12-17,2025-12-17 10:30:00,6,178.9468584964862,2,182.28080443581516,0.004351273590221049,0.003951273590221049
AMZN,2025-12-18,2025-12-18 10:30:00,8,183.2755287865117,2,186.15398941850216,-0.004507191024521663,-0.004907191024521663
META,2025-12-14,2025-12-14 10:30:00,7,321.18957066535285,2,330.8374622099041,0.003483267874720364,0.0030832678747203636
META,2025-12-15,2025-12-15 10:30:00,8,315.2933084666447,2,318.55579527232794,0.003417287106041624,0.003017287106041624
META,2025-12-16,2025-12-16 10:30:00,6,315.39781719812294,4,322.01906335078223,-0.0026118717726825134,-0.0030118717726825136
META,2025-12-17,2025-12-17 10:30:00,9,324.31945699399114,4,327.72335423827633,0.0038095322389354517,0.0034095322389354516
GOOGL,2025-12-14,2025-12-14 10:30:00,7,170.2279633331952,2,172.3736438430789,0.003649582636876216,0.003249582636876216
GOOGL,2025-12-15,2025-12-15 10:30:00,8,169.17659940157054,4,172.44442377330537,-0.002732646008691304,-0.003132646008691304
GOOGL,2025-12-16,2025-12-16 10:30:00,7,169.7857468800591,2,173.56129254215085,-0.002514237321170967,-0.002914237321170967
GOOGL,2025-12-17,2025-12-17 10:30:00,9,169.88460198345646,3,174.84072263877425,-0.004998905210685749,-0.005398905210685749
TSLA,2025-12-14,2025-12-14 10:30:00,6,240.53316682280683,2,244.01962636900225,0.003473384682933636,0.0030733846829336356
TSLA,2025-12-15,2025-12-15 10:30:00,8,241.72350356581748,4,247.42326892725956,-0.0025459651191292692,-0.0029459651191292694
TSLA,2025-12-16,2025-12-16 10:30:00,9,236.1727820874056,4,242.6463779736143,0.0073433548425637365,0.006943354842563736
TSLA,2025-12-17,2025-12-17 10:30:00,6,236.34153719694586,3,243.31851782142783,0.003267388164018347,0.002867388164018347
AVGO,2025-12-14,2025-12-14 10:30:00,7,1267.7350632705823,3,1290.7608250596138,0.0031460457877447944,0.0027460457877447942
AVGO,2025-12-15,2025-12-15 10:30:00,6,1278.7473512088752,4,1294.7371213897395,0.0031119251621974024,0.0027119251621974022
AVGO,2025-12-16,2025-12-16 10:30:00,9,1274.659529929303,4,1314.017489503972,-0.0023899474396076362,-0.0027899474396076364
AVGO,2025-12-17,2025-12-17 10:30:00,8,1269.085877923133,4,1307.1325523232642,-0.003736839767529986,-0.0041368397675299855
AMD,2025-12-14,2025-12-14 10:30:00,8,125.04480624309694,4,127.47328920928078,0.0033890261535996368,0.0029890261535996366
AMD,2025-12-15,2025-12-15 10:30:00,9,119.54217809945996,2,122.71441390069586,-0.003051270351011341,-0.0034512703510113413
AMD,2025-12-16,2025-12-16 10:30:00,7,120.01419515422842,2,122.74840900658866,0.0037317807436456256,0.0033317807436456254
AMD,2025-12-17,2025-12-17 10:30:00,7,120.16895016071024,3,123.13924498295248,0.006899354343611892,0.006499354343611892
NFLX,2025-12-14,2025-12-14 10:30:00,8,449.3023233568894,3,457.10370857388455,0.0037272923999358614,0.0033272923999358613
NFLX,2025-12-15,2025-12-15 10:30:00,7,428.66027338423504,4,441.1615094407289,-0.002620517990099767,-0.0030205179900997673
NFLX,2025-12-16,2025-12-16 10:30:00,9,439.6443965735328,3,444.08551161929114,0.005339557551506668,0.004939557551506667
